variable;unit;piam_variable;piam_unit;piam_factor;weight;comment;source
WATR.CRP;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops;km3/yr;1;NULL;;M
WATR.SGC;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Sugar crops;km3/yr;1;NULL;;M
WATR.CGR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Cereals|Maize;km3/yr;1;NULL;;M
WATR.RIC;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Cereals|Rice;km3/yr;1;NULL;;M
WATR.WHT;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Cereals|Temperate cereals;km3/yr;1;NULL;;M
WATR.CGR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Cereals|Tropical cereals;km3/yr;1;NULL;;M
WATR.PFB;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Cotton seed;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Groundnuts;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Oilpalms;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Other oil crops incl rapeseed;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Soybean;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Sunflower;km3/yr;1;NULL;;M
WATR.VFN;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Other crops|Fruits Vegetables Nuts;km3/yr;1;NULL;;M
WATR.OCR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Other crops|Potatoes;km3/yr;1;NULL;;M
WATR.OCR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Other crops|Pulses;km3/yr;1;NULL;;M
WATR.OCR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Other crops|Tropical roots;km3/yr;1;NULL;;M
GDPT.TOT;bn USD 2005 MER;Income MER;million US$2017 MER/yr;0.0008121;NULL;;M
NETT.ECP;1000 t dm;Trade|Net-Trade|Bioenergy crops;Mt DM/yr;1000;NULL;;M
NETT.AGR;1000 t dm;Trade|Net-Trade|Crops;Mt DM/yr;1000;NULL;;M
NETT.CRP;1000 t dm;Trade|Net-Trade|Crops;Mt DM/yr;1000;NULL;;M
NETT.FSH;1000 t dm;Trade|Net-Trade|Fish;Mt DM/yr;1000;NULL;;M
NETT.AGR;1000 t dm;Trade|Net-Trade|Livestock products;Mt DM/yr;1000;NULL;;M
NETT.LSP;1000 t dm;Trade|Net-Trade|Livestock products;Mt DM/yr;1000;NULL;;M
NETT.AGR;1000 t dm;Trade|Net-Trade|Secondary products;Mt DM/yr;1000;NULL;;M
NETT.CRP;1000 t dm;Trade|Net-Trade|Secondary products;Mt DM/yr;1000;NULL;;M
NETT.SGC;1000 t dm;Trade|Net-Trade|Crops|Sugar crops;Mt DM/yr;1000;NULL;;M
NETT.CGR;1000 t dm;Trade|Net-Trade|Crops|Cereals|Maize;Mt DM/yr;1000;NULL;;M
NETT.RIC;1000 t dm;Trade|Net-Trade|Crops|Cereals|Rice;Mt DM/yr;1000;NULL;;M
NETT.WHT;1000 t dm;Trade|Net-Trade|Crops|Cereals|Temperate cereals;Mt DM/yr;1000;NULL;;M
NETT.CGR;1000 t dm;Trade|Net-Trade|Crops|Cereals|Tropical cereals;Mt DM/yr;1000;NULL;;M
NETT.PFB;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Cotton seed;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Groundnuts;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Other oil crops incl rapeseed;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Soybean;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Sunflower;Mt DM/yr;1000;NULL;;M
NETT.VFN;1000 t dm;Trade|Net-Trade|Crops|Other crops|Fruits Vegetables Nuts;Mt DM/yr;1000;NULL;;M
NETT.OCR;1000 t dm;Trade|Net-Trade|Crops|Other crops|Potatoes;Mt DM/yr;1000;NULL;;M
NETT.OCR;1000 t dm;Trade|Net-Trade|Crops|Other crops|Pulses;Mt DM/yr;1000;NULL;;M
NETT.OCR;1000 t dm;Trade|Net-Trade|Crops|Other crops|Tropical roots;Mt DM/yr;1000;NULL;;M
NETT.DRY;1000 t dm;Trade|Net-Trade|Livestock products|Dairy;Mt DM/yr;1000;NULL;;M
NETT.NRM;1000 t dm;Trade|Net-Trade|Livestock products|Eggs;Mt DM/yr;1000;NULL;;M
NETT.NRM;1000 t dm;Trade|Net-Trade|Livestock products|Monogastric meat;Mt DM/yr;1000;NULL;;M
NETT.NRM;1000 t dm;Trade|Net-Trade|Livestock products|Poultry meat;Mt DM/yr;1000;NULL;;M
NETT.RUM;1000 t dm;Trade|Net-Trade|Livestock products|Ruminant meat;Mt DM/yr;1000;NULL;;M
NETT.WHT;1000 t dm;Trade|Net-Trade|Secondary products|Alcoholic beverages;Mt DM/yr;1000;NULL;;M
NETT.CGR;1000 t dm;Trade|Net-Trade|Secondary products|Brans;Mt DM/yr;1000;NULL;;M
NETT.PFB;1000 t dm;Trade|Net-Trade|Secondary products|Cotton lint;Mt DM/yr;1000;NULL;;M
NETT.CGR;1000 t dm;Trade|Net-Trade|Secondary products|Distillers grains;Mt DM/yr;1000;NULL;;M
NETT.SGC;1000 t dm;Trade|Net-Trade|Secondary products|Ethanol;Mt DM/yr;1000;NULL;;M
NETT.SGC;1000 t dm;Trade|Net-Trade|Secondary products|Microbial protein;Mt DM/yr;1000;NULL;;M
NETT.SGC;1000 t dm;Trade|Net-Trade|Secondary products|Molasses;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Secondary products|Oilcakes;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Secondary products|Oils;Mt DM/yr;1000;NULL;;M
NETT.SGC;1000 t dm;Trade|Net-Trade|Secondary products|Sugar;Mt DM/yr;1000;NULL;;M
IMPO.AGR;1000 t dm;Trade|Imports|Crops;Mt DM/yr;1000;NULL;;M
IMPO.AGR;1000 t dm;Trade|Imports|Livestock products;Mt DM/yr;1000;NULL;;M
IMPO.AGR;1000 t dm;Trade|Imports|Secondary products;Mt DM/yr;1000;NULL;;M
IMPO.CGR;1000 t dm;Trade|Imports|Crops|Cereals|Maize;Mt DM/yr;1000;NULL;;M
IMPO.CGR;1000 t dm;Trade|Imports|Crops|Cereals|Tropical cereals;Mt DM/yr;1000;NULL;;M
IMPO.CGR;1000 t dm;Trade|Imports|Secondary products|Brans;Mt DM/yr;1000;NULL;;M
IMPO.CGR;1000 t dm;Trade|Imports|Secondary products|Distillers grains;Mt DM/yr;1000;NULL;;M
IMPO.CRP;1000 t dm;Trade|Imports|Crops;Mt DM/yr;1000;NULL;;M
IMPO.CRP;1000 t dm;Trade|Imports|Secondary products;Mt DM/yr;1000;NULL;;M
IMPO.DRY;1000 t dm;Trade|Imports|Livestock products|Dairy;Mt DM/yr;1000;NULL;;M
IMPO.FSH;1000 t dm;Trade|Imports|Fish;Mt DM/yr;1000;NULL;;M
IMPO.LSP;1000 t dm;Trade|Imports|Livestock products;Mt DM/yr;1000;NULL;;M
IMPO.NRM;1000 t dm;Trade|Imports|Livestock products|Eggs;Mt DM/yr;1000;NULL;;M
IMPO.NRM;1000 t dm;Trade|Imports|Livestock products|Monogastric meat;Mt DM/yr;1000;NULL;;M
IMPO.NRM;1000 t dm;Trade|Imports|Livestock products|Poultry meat;Mt DM/yr;1000;NULL;;M
IMPO.OCR;1000 t dm;Trade|Imports|Crops|Other crops|Potatoes;Mt DM/yr;1000;NULL;;M
IMPO.OCR;1000 t dm;Trade|Imports|Crops|Other crops|Pulses;Mt DM/yr;1000;NULL;;M
IMPO.OCR;1000 t dm;Trade|Imports|Crops|Other crops|Tropical roots;Mt DM/yr;1000;NULL;;M
IMPO.OSD;1000 t dm;Trade|Imports|Crops|Oil crops|Groundnuts;Mt DM/yr;1000;NULL;;M
IMPO.OSD;1000 t dm;Trade|Imports|Crops|Oil crops|Other oil crops incl rapeseed;Mt DM/yr;1000;NULL;;M
IMPO.OSD;1000 t dm;Trade|Imports|Crops|Oil crops|Soybean;Mt DM/yr;1000;NULL;;M
IMPO.OSD;1000 t dm;Trade|Imports|Crops|Oil crops|Sunflower;Mt DM/yr;1000;NULL;;M
IMPO.OSD;1000 t dm;Trade|Imports|Secondary products|Oilcakes;Mt DM/yr;1000;NULL;;M
IMPO.OSD;1000 t dm;Trade|Imports|Secondary products|Oils;Mt DM/yr;1000;NULL;;M
IMPO.PFB;1000 t dm;Trade|Imports|Crops|Oil crops|Cotton seed;Mt DM/yr;1000;NULL;;M
IMPO.PFB;1000 t dm;Trade|Imports|Secondary products|Cotton lint;Mt DM/yr;1000;NULL;;M
IMPO.RIC;1000 t dm;Trade|Imports|Crops|Cereals|Rice;Mt DM/yr;1000;NULL;;M
IMPO.RUM;1000 t dm;Trade|Imports|Livestock products|Ruminant meat;Mt DM/yr;1000;NULL;;M
IMPO.SGC;1000 t dm;Trade|Imports|Crops|Sugar crops;Mt DM/yr;1000;NULL;;M
IMPO.SGC;1000 t dm;Trade|Imports|Secondary products|Ethanol;Mt DM/yr;1000;NULL;;M
IMPO.SGC;1000 t dm;Trade|Imports|Secondary products|Microbial protein;Mt DM/yr;1000;NULL;;M
IMPO.SGC;1000 t dm;Trade|Imports|Secondary products|Molasses;Mt DM/yr;1000;NULL;;M
IMPO.SGC;1000 t dm;Trade|Imports|Secondary products|Sugar;Mt DM/yr;1000;NULL;;M
IMPO.VFN;1000 t dm;Trade|Imports|Crops|Other crops|Fruits Vegetables Nuts;Mt DM/yr;1000;NULL;;M
IMPO.WHT;1000 t dm;Trade|Imports|Crops|Cereals|Temperate cereals;Mt DM/yr;1000;NULL;;M
IMPO.WHT;1000 t dm;Trade|Imports|Secondary products|Alcoholic beverages;Mt DM/yr;1000;NULL;;M
IMPO.ECP;1000 t dm;Trade|Imports|Bioenergy crops;Mt DM/yr;1000;NULL;;M
EXPO.AGR;1000 t dm;Trade|Exports|Crops;Mt DM/yr;1000;NULL;;M
EXPO.AGR;1000 t dm;Trade|Exports|Livestock products;Mt DM/yr;1000;NULL;;M
EXPO.AGR;1000 t dm;Trade|Exports|Secondary products;Mt DM/yr;1000;NULL;;M
EXPO.CGR;1000 t dm;Trade|Exports|Crops|Cereals|Maize;Mt DM/yr;1000;NULL;;M
EXPO.CGR;1000 t dm;Trade|Exports|Crops|Cereals|Tropical cereals;Mt DM/yr;1000;NULL;;M
EXPO.CGR;1000 t dm;Trade|Exports|Secondary products|Brans;Mt DM/yr;1000;NULL;;M
EXPO.CGR;1000 t dm;Trade|Exports|Secondary products|Distillers grains;Mt DM/yr;1000;NULL;;M
EXPO.CRP;1000 t dm;Trade|Exports|Crops;Mt DM/yr;1000;NULL;;M
EXPO.CRP;1000 t dm;Trade|Exports|Secondary products;Mt DM/yr;1000;NULL;;M
EXPO.DRY;1000 t dm;Trade|Exports|Livestock products|Dairy;Mt DM/yr;1000;NULL;;M
EXPO.FSH;1000 t dm;Trade|Exports|Fish;Mt DM/yr;1000;NULL;;M
EXPO.LSP;1000 t dm;Trade|Exports|Livestock products;Mt DM/yr;1000;NULL;;M
EXPO.NRM;1000 t dm;Trade|Exports|Livestock products|Eggs;Mt DM/yr;1000;NULL;;M
EXPO.NRM;1000 t dm;Trade|Exports|Livestock products|Monogastric meat;Mt DM/yr;1000;NULL;;M
EXPO.NRM;1000 t dm;Trade|Exports|Livestock products|Poultry meat;Mt DM/yr;1000;NULL;;M
EXPO.OCR;1000 t dm;Trade|Exports|Crops|Other crops|Potatoes;Mt DM/yr;1000;NULL;;M
EXPO.OCR;1000 t dm;Trade|Exports|Crops|Other crops|Pulses;Mt DM/yr;1000;NULL;;M
EXPO.OCR;1000 t dm;Trade|Exports|Crops|Other crops|Tropical roots;Mt DM/yr;1000;NULL;;M
EXPO.OSD;1000 t dm;Trade|Exports|Crops|Oil crops|Groundnuts;Mt DM/yr;1000;NULL;;M
EXPO.OSD;1000 t dm;Trade|Exports|Crops|Oil crops|Other oil crops incl rapeseed;Mt DM/yr;1000;NULL;;M
EXPO.OSD;1000 t dm;Trade|Exports|Crops|Oil crops|Soybean;Mt DM/yr;1000;NULL;;M
EXPO.OSD;1000 t dm;Trade|Exports|Crops|Oil crops|Sunflower;Mt DM/yr;1000;NULL;;M
EXPO.OSD;1000 t dm;Trade|Exports|Secondary products|Oilcakes;Mt DM/yr;1000;NULL;;M
EXPO.OSD;1000 t dm;Trade|Exports|Secondary products|Oils;Mt DM/yr;1000;NULL;;M
EXPO.PFB;1000 t dm;Trade|Exports|Crops|Oil crops|Cotton seed;Mt DM/yr;1000;NULL;;M
EXPO.PFB;1000 t dm;Trade|Exports|Secondary products|Cotton lint;Mt DM/yr;1000;NULL;;M
EXPO.RIC;1000 t dm;Trade|Exports|Crops|Cereals|Rice;Mt DM/yr;1000;NULL;;M
EXPO.RUM;1000 t dm;Trade|Exports|Livestock products|Ruminant meat;Mt DM/yr;1000;NULL;;M
EXPO.SGC;1000 t dm;Trade|Exports|Crops|Sugar crops;Mt DM/yr;1000;NULL;;M
EXPO.SGC;1000 t dm;Trade|Exports|Secondary products|Ethanol;Mt DM/yr;1000;NULL;;M
EXPO.SGC;1000 t dm;Trade|Exports|Secondary products|Microbial protein;Mt DM/yr;1000;NULL;;M
EXPO.SGC;1000 t dm;Trade|Exports|Secondary products|Molasses;Mt DM/yr;1000;NULL;;M
EXPO.SGC;1000 t dm;Trade|Exports|Secondary products|Sugar;Mt DM/yr;1000;NULL;;M
EXPO.VFN;1000 t dm;Trade|Exports|Crops|Other crops|Fruits Vegetables Nuts;Mt DM/yr;1000;NULL;;M
EXPO.WHT;1000 t dm;Trade|Exports|Crops|Cereals|Temperate cereals;Mt DM/yr;1000;NULL;;M
EXPO.WHT;1000 t dm;Trade|Exports|Secondary products|Alcoholic beverages;Mt DM/yr;1000;NULL;;M
EXPO.ECP;1000 t dm;Trade|Exports|Bioenergy crops;Mt DM/yr;1000;NULL;;M
NSUP_mass.CRP;TgN/year;Resources|Nitrogen|Pollution|Surplus|Cropland;Mt Nr/yr;1;NULL;;M
NSUP_mass.MMG;TgN/year;Resources|Nitrogen|Pollution|Surplus|Animal Waste Management;Mt Nr/yr;1;NULL;;M
NSUP_mass.GRS;TgN/year;Resources|Nitrogen|Pollution|Surplus|Pasture;Mt Nr/yr;1;NULL;;M
BIOD.TOT;unitless;Biodiversity|BII;unitless;1;NULL;;M
FRTN.CGR;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Cereals|Maize;Mt Nr/yr;1000;NULL;;M
FRTN.RIC;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Cereals|Rice;Mt Nr/yr;1000;NULL;;M
FRTN.WHT;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Cereals|Temperate cereals;Mt Nr/yr;1000;NULL;;M
FRTN.CGR;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Cereals|Tropical cereals;Mt Nr/yr;1000;NULL;;M
FRTN.PFB;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Oil crops|Cotton seed;Mt Nr/yr;1000;NULL;;M
FRTN.OSD;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Oil crops|Groundnuts;Mt Nr/yr;1000;NULL;;M
FRTN.OSD;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Oil crops|Oilpalms;Mt Nr/yr;1000;NULL;;M
FRTN.OSD;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Oil crops|Other oil crops incl rapeseed;Mt Nr/yr;1000;NULL;;M
FRTN.OSD;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Oil crops|Soybean;Mt Nr/yr;1000;NULL;;M
FRTN.OSD;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Oil crops|Sunflower;Mt Nr/yr;1000;NULL;;M
FRTN.SGC;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Sugar crops|Sugar beet;Mt Nr/yr;1000;NULL;;M
FRTN.SGC;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Sugar crops|Sugar cane;Mt Nr/yr;1000;NULL;;M
FRTN.ECP;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Bioenergy crops|Short rotation grasses;Mt Nr/yr;1000;NULL;;M
FRTN.ECP;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Bioenergy crops|Short rotation trees;Mt Nr/yr;1000;NULL;;M
FRTN.OCR;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Other crops|Tropical roots;Mt Nr/yr;1000;NULL;;M
FRTN.VFN;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Other crops|Fruits Vegetables Nuts;Mt Nr/yr;1000;NULL;;M
FRTN.OCR;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Other crops|Potatoes;Mt Nr/yr;1000;NULL;;M
FRTN.OCR;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops|Other crops|Pulses;Mt Nr/yr;1000;NULL;;M
FRTN.CRP;1000 t;Resources|Nitrogen|Inorganic Fertilizer Application|Crops;Mt Nr/yr;1000;NULL;;M
FEEF.LSP;Nr/Nr;Productivity|Feed protein conversion|Poultry meat;Nr per Nr;1;Production Nr|Livestock products|+|Poultry meat;;M
FEEF.LSP;Nr/Nr;Productivity|Feed protein conversion|Eggs;Nr per Nr;1;Production Nr|Livestock products|+|Eggs;;M
FEEF.LSP;Nr/Nr;Productivity|Feed protein conversion|Dairy;Nr per Nr;1;Production Nr|Livestock products|+|Dairy;;M
FEEF.LSP;Nr/Nr;Productivity|Feed protein conversion|Monogastric meat;Nr per Nr;1;Production Nr|Livestock products|+|Monogastric meat;;M
FEEF.LSP;Nr/Nr;Productivity|Feed protein conversion|Ruminant meat;Nr per Nr;1;Production Nr|Livestock products|+|Ruminant meat;;M
FEEF.RUM;Nr/Nr;Productivity|Feed protein conversion|Ruminant meat;Nr per Nr;1;Production Nr|Livestock products|+|Ruminant meat;;M
FEEF.RUM;Nr/Nr;Productivity|Feed protein conversion|Dairy;Nr per Nr;1;Production Nr|Livestock products|+|Dairy;;M
FEEF.DRY;Nr/Nr;Productivity|Feed protein conversion|Ruminant meat;Nr per Nr;1;Production Nr|Livestock products|+|Ruminant meat;;M
FEEF.DRY;Nr/Nr;Productivity|Feed protein conversion|Dairy;Nr per Nr;1;Production Nr|Livestock products|+|Dairy;;M
FEEF.NRM;Nr/Nr;Productivity|Feed protein conversion|Poultry meat;Nr per Nr;1;Production Nr|Livestock products|+|Poultry meat;;M
FEEF.NRM;Nr/Nr;Productivity|Feed protein conversion|Eggs;Nr per Nr;1;Production Nr|Livestock products|+|Eggs;;M
FEEF.NRM;Nr/Nr;Productivity|Feed protein conversion|Monogastric meat;Nr per Nr;1;Production Nr|Livestock products|+|Monogastric meat;;M
LABS.CRP;%;Factor requirement shares|Crop products|Labor requirement share;%;1;NULL;;M
CAPS.CRP;%;Factor requirement shares|Crop products|Capital requirement share;%;1;NULL;;M
LABS.LSP;%;Factor requirement shares|Livestock products|Labor requirement share;%;1;NULL;;M
CAPS.LSP;%;Factor requirement shares|Livestock products|Capital requirement share;%;1;NULL;;M
ENH3.AGR;Mt NH3/yr;Emissions|NH3|Land;Mt NH3/yr;1;NULL;;M
ENH3.TOT;Mt NH3/yr;Emissions|NH3|Land;Mt NH3/yr;1;NULL;;M
FSEC_abs.TOT;million;Nutrition|Anthropometrics|People underweight;million people;1;NULL;;M
XPRP.CRP;Index 2020=100;Prices|Index2020|Agriculture|Producer|Crop products;Index 2020=100;1;NULL;;M
XPRP.RIC;Index 2020=100;Prices|Index2020|Agriculture|Producer|Rice;Index 2020=100;1;NULL;;M
XPRP.WHT;Index 2020=100;Prices|Index2020|Agriculture|Producer|Temperate cereals;Index 2020=100;1;NULL;;M
XPRP.CGR;Index 2020=100;Prices|Index2020|Agriculture|Producer|Tropical cereals;Index 2020=100;1;Production|Crops|Cereals|+|Tropical cereals;;M
XPRP.CGR;Index 2020=100;Prices|Index2020|Agriculture|Producer|Maize;Index 2020=100;1;Production|Crops|Cereals|+|Maize;;M
XPRP.OSD;Index 2020=100;Prices|Index2020|Agriculture|Producer|Soybean;Index 2020=100;1;Production|Crops|Oil crops|+|Soybean;;M
XPRP.OSD;Index 2020=100;Prices|Index2020|Agriculture|Producer|Groundnuts;Index 2020=100;1;Production|Crops|Oil crops|+|Groundnuts;;M
XPRP.OSD;Index 2020=100;Prices|Index2020|Agriculture|Producer|Other oil crops incl rapeseed;Index 2020=100;1;Production|Crops|Oil crops|+|Other oil crops incl rapeseed;;M
XPRP.OSD;Index 2020=100;Prices|Index2020|Agriculture|Producer|Oilpalms;Index 2020=100;1;Production|Crops|Oil crops|+|Oilpalms;;M
XPRP.OSD;Index 2020=100;Prices|Index2020|Agriculture|Producer|Sunflower;Index 2020=100;1;Production|Crops|Oil crops|+|Sunflower;;M
XPRP.SGC;Index 2020=100;Prices|Index2020|Agriculture|Producer|Sugar cane;Index 2020=100;1;Production|Crops|Sugar crops|+|Sugar cane;;M
XPRP.SGC;Index 2020=100;Prices|Index2020|Agriculture|Producer|Sugar beet;Index 2020=100;1;Production|Crops|Sugar crops|+|Sugar beet;;M
XPRP.VFN;Index 2020=100;Prices|Index2020|Agriculture|Producer|Fruits Vegetables Nuts;Index 2020=100;1;NULL;;M
XPRP.PFB;Index 2020=100;Prices|Index2020|Agriculture|Producer|Cotton seed;Index 2020=100;1;NULL;;M
XPRP.ECP;Index 2020=100;Prices|Index2020|Agriculture|Producer|Short rotation grasses;Index 2020=100;1;Production|Bioenergy crops|+|Short rotation grasses;;M
XPRP.ECP;Index 2020=100;Prices|Index2020|Agriculture|Producer|Short rotation trees;Index 2020=100;1;Production|Bioenergy crops|+|Short rotation trees;;M
XPRP.OCR;Index 2020=100;Prices|Index2020|Agriculture|Producer|Pulses;Index 2020=100;1;Production|Crops|Other crops|+|Pulses;;M
XPRP.OCR;Index 2020=100;Prices|Index2020|Agriculture|Producer|Potatoes;Index 2020=100;1;Production|Crops|Other crops|+|Potatoes;;M
XPRP.OCR;Index 2020=100;Prices|Index2020|Agriculture|Producer|Tropical roots;Index 2020=100;1;Production|Crops|Other crops|+|Tropical roots;;M
XPRP.RUM;Index 2020=100;Prices|Index2020|Agriculture|Producer|Ruminant meat;Index 2020=100;1;NULL;;M
XPRP.NRM;Index 2020=100;Prices|Index2020|Agriculture|Producer|Monogastric meat;Index 2020=100;1;Production|Livestock products|+|Monogastric meat;;M
XPRP.NRM;Index 2020=100;Prices|Index2020|Agriculture|Producer|Poultry meat;Index 2020=100;1;Production|Livestock products|+|Poultry meat;;M
XPRP.NRM;Index 2020=100;Prices|Index2020|Agriculture|Producer|Eggs;Index 2020=100;1;Production|Livestock products|+|Eggs;;M
XPRP.DRY;Index 2020=100;Prices|Index2020|Agriculture|Producer|Dairy;Index 2020=100;1;Production|Livestock products|+|Dairy;;M
XPRP.LSP;Index 2020=100;Prices|Index2020|Agriculture|Producer|Livestock products;Index 2020=100;1;NULL;;M
XPRP.FSH;Index 2020=100;Prices|Index2020|Agriculture|Producer|Fish;Index 2020=100;1;NULL;;M
XPRP.AGR;Index 2020=100;Prices|Index2020|Agriculture|Producer|All products;Index 2020=100;1;NULL;;M
